Race_ID,Odds,BSP,Distance_All,Finish_All,Races_All,Odds_Recent,Odds_380,Time_380,Dist_By,y_real,y_pred,y_prob,Position,Finished
1706,5.5,7.19,434.0,3.83,50,6.42,6.07,24.32,-6.71,0,0,0.14328238558332113,4,2
1883,5.5,8.2,424.93,3.57,417,8.0,5.71,24.71,-6.29,0,0,0.1433487765040977,4,3
1029,6.0,7.6,414.78,3.98,23,4.89,4.89,24.33,-5.71,0,0,0.14336564166683943,4,4
595,6.0,6.86,388.0,4.96,16,4.44,4.44,18.18,-15.75,0,0,0.14337019291711864,4,5
1334,4.5,5.33,423.47,4.04,17,4.0,4.5,24.22,1.5,0,0,0.14339532912730793,4,4
498,5.0,9.2,445.71,3.61,55,7.25,8.0,24.63,-5.0,0,0,0.14340814953581235,4,5
196,5.0,5.6,426.67,3.67,54,4.33,3.68,24.15,-5.14,0,0,0.1434388289351627,4,3
871,6.0,10.86,380.0,3.23,148,4.43,4.43,24.37,-4.43,0,0,0.1434602161448163,4,6
28,4.5,5.69,405.12,3.41,80,4.54,4.75,23.95,-1.86,1,0,0.14353170106608315,4,1
746,5.5,7.25,380.0,4.07,11,5.0,5.0,24.61,-4.17,1,0,0.1435521453359747,4,1
1344,4.5,6.0,362.33,4.11,6,4.75,4.75,24.23,-3.5,0,0,0.14357023910631564,4,4
1645,7.0,9.57,437.14,3.8,14,6.33,4.58,24.28,-6.17,0,0,0.14358551354559737,4,3
699,9.0,13.5,409.09,2.9,22,5.43,5.43,23.83,-0.79,0,0,0.14361906560196774,4,4
1619,6.0,9.0,380.0,3.66,256,7.8,7.21,21.12,-11.86,0,0,0.14362741263012802,4,6
200,7.0,11.49,391.59,4.76,22,8.14,8.14,24.43,-4.86,1,0,0.14366660943269552,4,1
1364,5.0,6.94,401.43,3.58,126,6.86,6.86,24.47,-4.54,0,0,0.1436768828690548,4,5
237,4.5,7.2,410.0,3.43,16,4.08,5.11,24.62,-5.0,0,0,0.1436850890504149,4,2
827,4.0,11.0,413.59,4.23,22,4.86,4.86,24.7,-5.71,0,0,0.14368580914328832,4,6
1992,5.0,7.9,410.3,3.44,33,4.64,4.64,24.08,-3.29,1,0,0.14369589140572211,4,1
974,4.5,6.17,380.0,3.24,27,5.67,5.86,20.7,-9.29,0,0,0.14374092943034175,4,3
311,5.5,10.5,457.88,2.94,33,4.0,3.5,24.07,-1.25,0,0,0.1437569160285722,4,2
580,5.0,7.0,436.82,3.31,22,3.81,3.25,24.21,-4.5,0,0,0.14378619509273236,4,5
1719,5.5,8.6,359.67,3.52,76,5.57,5.43,24.16,-5.79,0,0,0.14379361699646062,4,4
